Province,2012/02/12,2012/02/13,2012/02/14,2012/02/15,2012/02/16,2012/02/17,2012/02/18,2012/02/19
Guizhou,29,38,46,56,64,69,77,89
Shanghai,153,177,193,208,233,254,269,281
Guangxi,100,111,127,139,150,168,172,183
Jiangsu,202,231,271,308,341,373,408,439
Anhui,297,340,408,480,530,591,665,733
Hebei,96,104,113,126,135,157,171,195
Shaanxi,101,116,128,142,165,173,184,195
Fujian,144,159,179,194,205,215,224,239
Inner Mongolia,23,26,33,37,42,46,49,50
Xinjiang,18,23,24,29,32,36,39,42
Gansu,35,45,51,56,57,62,70,71
Liaoning,60,64,70,74,81,89,94,99
Taipei,10,10,10,10,11,11,16,16
Jiangxi,286,333,391,476,548,600,661,698
Guangdong,520,604,683,797,870,944,1018,1075
Hubei,7153,9074,11177,13522,16678,19665,22112,24953
Qinghai,8,9,13,15,17,18,18,18
Shanxi,47,56,66,74,81,90,96,104
Shandong,202,225,246,270,298,343,379,407
Hainan,57,63,70,79,89,100,111,123
Chongqing,238,262,300,337,366,389,411,426
Jilin,17,21,31,42,54,59,65,69
Tianjin,34,40,49,63,67,70,79,81
Heilongjiang,80,95,118,155,190,227,277,282
Zhejiang,599,661,724,829,895,954,1006,1048
Sichuan,207,236,254,282,301,321,344,363
Xizang,1,1,1,1,1,1,1,1
Hong Kong SAR,13,14,15,15,18,21,24,26
Yunnan,91,99,109,117,122,128,135,138
Henan,422,493,566,675,764,851,914,981
Ningxia,26,28,31,34,34,40,43,45
Beijing,156,183,212,228,253,274,297,315
Hunan,389,463,521,593,661,711,772,803
Macao SAR,7,7,8,8,10,10,10,10
